Unnamed: 0,file_name,ground_truth,StutterType
22,441-128982-0022,but after a diet of roots shellfish must have been a very agreeable change and they gave him all the strength and vigor he needed very often he found streams and inlets which he was obliged to ford,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
23,441-128982-0023,when he had made for himself what seemed to be a free passage he would dash in and hurry across at other times great forests stretched down to the very coast and through these he was obliged to make his way,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
24,441-128982-0024,although he could hear the roars and screams of wild beasts all about him any one who is afraid to go down into a dark cellar to get some apples from a barrel at the foot of the stairs can have no idea of the sort of mind possessed by bartholemy portuguez,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
25,441-128982-0025,the animals might howl around him and glare at him with their shining eyes and the alligators might lash the water into foam with their great tails,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
26,441-128982-0026,this was a wide river flowing through the inland country into the sea he made his way up the shore of this river for a considerable distance but it grew but little narrower and he could see no chance of getting across he could not swim,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
27,441-128982-0027,and he had no wine jars now with which to buoy himself up,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
28,441-128982-0028,but a man in his situation would not be likely to give up readily,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
29,441-128982-0029,now a piece of good fortune happened to him although to an ordinary traveller it might have been considered a matter of no importance whatever on the edge of the shore where it had floated down from some region higher up the river,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
30,441-128982-0030,bartholemy perceived an old board in which there were some long and heavy rusty nails greatly encouraged by this discovery the indefatigable traveller set about a work which resembled that of the old woman who wanted a needle,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
31,441-128982-0031,and who began to rub a crow bar on a stone in order to reduce it to the proper size bartholemy carefully knocked all the nails out of the board and then finding a large flat stone he rubbed down one of them until he had formed it into the shape of a rude knife blade,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
32,441-128982-0032,which he made as sharp as he could then with these tools he undertook the construction of a raft working away like a beaver and using the sharpened nails instead of his teeth,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
33,441-128982-0033,he cut down a number of small trees and when he had enough of these slender trunks he bound them together with reeds and osiers which he found on the river bank so after infinite labor and trial he constructed a raft which would bear him on the surface of the water,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
34,441-128982-0034,gathering up his legs so as to keep out of reach of the alligators and with a long pole pushed himself off from shore sometimes paddling and sometimes pushing his pole against the bottom he at last got across the river and took up his journey upon dry land,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
35,441-128982-0035,even if he could not walk no athlete of the present day no matter if he should be a most accomplished circus man could reasonably expect to perform the feat which this bold pirate successfully accomplished for five or six leagues he went through that mangrove forest,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
36,441-128982-0036,never once setting his foot upon the ground by which is meant mud water and roots but swinging himself by his hands and arms from branch to branch as if he had been a great ape only resting occasionally drawing himself upon a stout limb where he might sit for a while and get his breath,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
37,441-130108-0000,a sputtering of musketry was always to be heard later the cannon had entered the dispute in the fog filled air their voices made a thudding sound the reverberations were continual,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
38,441-130108-0001,this part of the world led a strange battleful existence the youth's regiment was marched to relieve a command that had lain long in some damp trenches the men took positions behind a curving line of rifle pits that had been turned up like a large furrow,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
39,441-130108-0002,he could see the low line of trenches but for a short distance a few idle flags were perched on the dirt hills,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
40,441-130108-0003,always the noise of skirmishers came from the woods on the front and left and the din on the right had grown to frightful proportions the guns were roaring without an instant's pause for breath,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
41,441-130108-0004,it seemed that the cannon had come from all parts and were engaged in a stupendous wrangle it became impossible to make a sentence heard the youth wished to launch a joke a quotation from newspapers he desired to say,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
42,441-130108-0005,all quiet on the rappahannock but the guns refused to permit even a comment upon their uproar he never successfully concluded the sentence but at last the guns stopped and among the men in the rifle pits rumors again flew,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
43,441-130108-0006,like birds but they were now for the most part black creatures who flapped their wings drearily near to the ground and refused to rise on any wings of hope the men's faces grew doleful from the interpreting of omens,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
44,441-130108-0007,stories of disaster were borne into their minds with many proofs this din of musketry on the right growing like a released genie of sound expressed and emphasized the army's plight the men were disheartened and began to mutter,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
45,441-130108-0008,and it could always be seen that they were bewildered by the alleged news and could not fully comprehend a defeat before the gray mists had been totally obliterated by the sun rays the regiment was marching in a spread column that was retiring carefully through the woods,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
46,441-130108-0009,the disordered hurrying lines of the enemy could sometimes be seen down through the groves and little fields they were yelling shrill and exultant at this sight the youth forgot many personal matters and became greatly enraged he exploded in loud sentences,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
47,441-130108-0010,observed a man his friend recently aroused was still very drowsy he looked behind him until his mind took in the meaning of the movement then he sighed oh well i s'pose we got licked,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
48,441-130108-0011,he remarked sadly the youth had a thought that it would not be handsome for him to freely condemn other men he made an attempt to restrain himself but the words upon his tongue were too bitter,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
49,441-130108-0012,he presently began a long and intricate denunciation of the commander of the forces mebbe it wa'n't all his fault not all together,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
50,441-130108-0013,it's our luck t git licked often said his friend in a weary tone he was trudging along with stooped shoulders and shifting eyes like a man who has been caned and kicked well don't we fight like the devil,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
51,441-130108-0014,don't we do all that men can demanded the youth loudly he was secretly dumfounded at this sentiment when it came from his lips for a moment his face lost its valor and he looked guiltily about him,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
52,441-130108-0015,but no one questioned his right to deal in such words and presently he recovered his air of courage he went on to repeat a statement he had heard going from group to group at the camp that morning the brigadier said he never saw a new reg'ment fight the way we fought yestirday didn't he,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
53,441-130108-0016,in his reply the friend's voice was stern a course not he said,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
54,441-130108-0017,but still still we don't have no luck well then if we fight like the devil an don't ever whip it must be the general's fault said the youth grandly and decisively,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
55,441-130108-0018,and i don't see any sense in fighting and fighting and fighting yet always losing through some derned old lunkhead of a general,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
56,441-130108-0019,the speech pierced the youth inwardly he was reduced to an abject pulp by these chance words his legs quaked privately he cast a frightened glance at the sarcastic man why no he hastened to say in a conciliating voice,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
57,441-130108-0020,i don't think i fought the whole battle yesterday but the other seemed innocent of any deeper meaning apparently he had no information it was merely his habit oh he replied in the same tone of calm derision,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
58,441-130108-0021,the youth nevertheless felt a threat his mind shrank from going near to the danger and thereafter he was silent the significance of the sarcastic man's words took from him all loud moods that would make him appear prominent,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
59,441-130108-0022,he became suddenly a modest person there was low toned talk among the troops the officers were impatient and snappy their countenances clouded with the tales of misfortune,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
60,441-130108-0023,the troops sifting through the forest were sullen in the youth's company once a man's laugh rang out a dozen soldiers turned their faces quickly toward him and frowned with vague displeasure,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
61,441-130108-0024,the noise of firing dogged their footsteps sometimes it seemed to be driven a little way but it always returned again with increased insolence the men muttered and cursed throwing black looks in its direction,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
62,441-130108-0025,in a clear space the troops were at last halted regiments and brigades broken and detached through their encounters with thickets grew together again and lines were faced toward the pursuing bark of the enemy's infantry,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
63,441-130108-0026,increased to a loud and joyous burst and then as the sun went serenely up the sky throwing illuminating rays into the gloomy thickets it broke forth into prolonged pealings the woods began to crackle as if afire,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
64,441-130108-0027,said a man here we are everybody fightin blood an destruction,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
65,441-130108-0028,who were lying down behind whatever protection they had collected a battery had trundled into position in the rear and was thoughtfully shelling the distance the regiment unmolested as yet,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
66,441-130108-0029,awaited the moment when the gray shadows of the woods before them should be slashed by the lines of flame there was much growling and swearing good gawd the youth grumbled we're always being chased around like rats it makes me sick,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
67,441-130108-0030,nobody seems to know where we go or why we go we just get fired around from pillar to post and get licked here and get licked there and nobody knows what it's done for it makes a man feel like a damn kitten in a bag,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
68,441-130108-0031,now i'd like to know what the eternal thunders we was marched into these woods for anyhow unless it was to give the rebs a regular pot shot at us we came in here and got our legs all tangled up in these cussed briers,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
69,441-130108-0032,and then we begin to fight and the rebs had an easy time of it don't tell me it's just luck i know better it's this derned old the friend seemed jaded but he interrupted his comrade with a voice of calm confidence,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
70,441-130108-0033,oh the devil it will you always talk like a dog hanged parson don't tell me i know,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
71,441-130108-0034,at this time there was an interposition by the savage minded lieutenant who was obliged to vent some of his inward dissatisfaction upon his men you boys shut right up,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
72,441-130108-0035,you've been jawin like a lot a old hens,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
73,441-130108-0036,less talkin an more fightin is what's best for you boys i never saw sech gabbling jackasses he paused ready to pounce upon any man who might have the temerity to reply,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
74,441-130108-0037,the day had grown more white until the sun shed his full radiance upon the thronged forest a sort of a gust of battle came sweeping toward that part of the line where lay the youth's regiment the front shifted a trifle to meet it squarely,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
75,441-130108-0038,there was a wait in this part of the field there passed slowly the intense moments that precede the tempest a single rifle flashed in a thicket before the regiment in an instant it was joined by many others,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
76,441-130108-0039,there was a mighty song of clashes and crashes that went sweeping through the woods the guns in the rear aroused and enraged by shells that had been thrown burr like at them suddenly involved themselves in a hideous altercation with another band of guns,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
77,441-130108-0040,the battle roar settled to a rolling thunder which was a single long explosion in the regiment there was a peculiar kind of hesitation denoted in the attitudes of the men,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
78,441-130108-0041,they were worn exhausted having slept but little and labored much,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
79,441-128988-0000,chapter thirteen a resurrected pirate,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
80,441-128988-0001,that he had come back a comparative pauper surprised no one for this was a common thing to happen to a pirate but the wonder was that he got back at all he had no money but by the exercise of his crafty abilities,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
81,441-128988-0002,he managed to get possession of a ship which he manned with a crew of about a score of impecunious dare devils who were very anxious to do something to mend their fortunes having now become very fond of land fighting,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
82,441-128988-0003,he did not go out in search of ships but directed his vessel to a little village called de los cayos on the coast of cuba for here he thought was a chance for a good and easy stroke of business,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
83,441-128988-0004,so that large ships could not approach very near and thus the villagers were kept busy carrying goods and supplies in small boats backwards and forwards from the town to the vessels at anchor,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
84,441-128988-0005,here was a nice little prize that could not get away from him and l'olonnois had plenty of time to make his preparations to seize it as he could not sail a ship directly up to the town,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
85,441-128988-0006,he cruised about the coast at some distance from de los cayos endeavoring to procure two small boats in which to approach the town but although his preparations were made as quietly as possible the presence of his vessel was discovered by some fishermen,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
86,441-128988-0007,informing the governor of the island that the cruel pirate l'olonnois was in a ship a short distance from their village which he undoubtedly intended to attack when the governor heard this astonishing tale,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
87,441-128988-0008,it was almost impossible for him to believe it the good news of the death of l'olonnois had come from campeachy to havana and the people of the latter town also rejoiced greatly to be now told that this scourge of the west indies was alive,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
88,441-128988-0009,and was about to fall upon a peaceful little village on the island over which he ruled filled the governor with rage as well as amazement and he ordered a well armed ship with a large crew of fighting men to sail immediately for de los cayos,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
89,441-128988-0010,by the time the war vessel had arrived at de los cayos l'olonnois had made his preparation to attack the place he had procured two large canoes and in these he had intended to row up to the town and land with his men,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
90,441-128988-0011,but now there was a change in the state of affairs and he was obliged to alter his plans the ordinary person in command of two small boats who should suddenly discover that a village which he supposed almost defenceless was protected by a large man of war,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
91,441-128988-0012,with cannon and a well armed crew would have altered his plans so completely that he would have left that part of the coast of cuba with all possible expedition but the pirates of that day seemed to pay very little attention to the element of odds,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
92,441-128988-0013,if they met an enemy who was weak they would fall upon him and if they met with one who was a good deal stronger than themselves they would fall upon him all the same when the time came to fight they fought,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
93,441-128988-0014,but no intention of giving up his project entered his mind as the spanish vessel was in his way he would attack her and get her out of his way if the thing could be done in this new state of affairs he was obliged to use stratagem,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
94,441-128988-0015,and he also needed a larger force than he had with him and he therefore captured some men who were fishing along the coast and put them into his canoes to help work the oars then by night he proceeded slowly in the direction of the spanish vessel,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
95,441-128988-0016,the man of war was anchored not very far from the town and when about two o'clock in the morning the watch on deck saw some canoes approaching they supposed them to be boats from shore,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
96,441-128988-0017,for as has been said such vessels were continually plying about those shallow waters the canoes were hailed and after having given an account of themselves they were asked if they knew anything about the pirate ship upon the coast,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
97,441-128988-0018,but their way was a very different one from any which could have been expected by the captain of the ship they rowed off into the darkness instead of going toward the town and waited until nearly daybreak then they boldly made for the man of war,[0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
