FileName,Text,StutterType
198-126831-0050,it's all peter's fault said felicity i do think he might have had more sense than to take a clock striking for a bell ringing,[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
103-1241-0042,he detested the way they had of sidling past him timidly with sidewise glances as if they expected him to gobble them up at a mouthful if they ventured to say a word that was the avonlea type of well bred little girl but this freckled witch was very different,"[0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-126831-0051,it don't sound a bit like other clocks,[0 0 0 0 0 0 0 0]
198-126831-0052,i wouldn't have said the story girl honestly i thought it was a bell when i heard it and the door open too let us be fair felicity,[0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-126831-0053,but it was over two hours since we had eaten the cookies and felicity suggested that a saucerful apiece,[0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0000,elinor saw with great uneasiness the low spirits of her friend his visit afforded her but a very partial satisfaction,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0001,while his own enjoyment in it appeared so imperfect it was evident that he was unhappy she wished it were equally evident that he still distinguished her by the same affection which once she had felt no doubt of inspiring,"[0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
198-129977-0002,but hitherto the continuance of his preference seemed very uncertain and the reservedness of his manner towards her contradicted one moment what a more animated look had intimated the preceding one,[0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0003,he joined her and marianne in the breakfast room the next morning before the others were down and marianne who was always eager to promote their happiness as far as she could soon left them to themselves but before she was half way upstairs she heard the parlour door open,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0004,as you are not yet ready for breakfast,[0 0 0 0 0 0 0 0]
198-129977-0005,this was a subject which ensured marianne's attention and she was beginning to describe her own admiration of these scenes,[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0006,when edward interrupted her by saying you must not enquire too far marianne remember i have no knowledge in the picturesque and i shall offend you by my ignorance and want of taste if we come to particulars,"[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
103-1241-0043,and although he found it rather difficult for his slower intelligence to keep up with her brisk mental processes,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0007,which ought to be irregular and rugged and distant objects out of sight which ought only to be indistinct through the soft medium of a hazy atmosphere you must be satisfied with such admiration as i can honestly give i call it a very fine country,"[0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
 2 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0008,the hills are steep the woods seem full of fine timber,[0 0 0 0 0 0 0 0 0 0 0]
198-129977-0009,i can easily believe it to be full of rocks and promontories grey moss and brush wood but these are all lost on me i know nothing of the picturesque,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0010,i am afraid it is but too true said marianne but why should you boast of it i suspect said elinor that to avoid one kind of affectation edward here falls into another because he believes many people pretend to more admiration of the beauties of nature than they really feel,"[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0011,and is disgusted with such pretensions he affects greater indifference and less discrimination in viewing them himself than he possesses he is fastidious and will have an affectation of his own it is very true said marianne that admiration of landscape scenery,"[0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0 0 0 0 0 0]"
198-129977-0012,is become a mere jargon every body pretends to feel and tries to describe with the taste and elegance of him who first defined what picturesque beauty was i detest jargon of every kind and sometimes i have kept my feelings to myself,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
198-129977-0013,because i could find no language to describe them in but what was worn and hackneyed out of all sense and meaning i am convinced said edward that you really feel all the delight in a fine prospect which you profess to feel,"[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
 0 0 0 0 0 0 0]"
198-129977-0014,but in return your sister must allow me to feel no more than i profess i like a fine prospect but not on picturesque principles i do not like crooked twisted blasted trees i admire them much more if they are tall straight and flourishing,"[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
198-129977-0015,i do not like ruined tattered cottages i am not fond of nettles or thistles or heath blossoms i have more pleasure in a snug farm house than a watch tower,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0016,marianne looked with amazement at edward with compassion at her sister,[0 0 0 0 0 0 0 0 0 0 0]
1088-129236-0000,every promise of the soul has innumerable fulfilments each of its joys ripens into a new want nature uncontainable flowing forelooking,[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0]
198-129977-0017,till a new object suddenly engaged her attention she was sitting by edward and in taking his tea from missus dashwood his hand passed so directly before her as to make a ring with a plait of hair in the centre very conspicuous on one of his fingers,"[0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
 2 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0018,but i should have thought her hair had been darker marianne spoke inconsiderately what she really felt but when she saw how much she had pained edward her own vexation at her want of thought could not be surpassed by his,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
198-129977-0019,he coloured very deeply and giving a momentary glance at elinor replied yes it is my sister's hair the setting always casts a different shade on it you know elinor had met his eye and looked conscious likewise,"[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
198-129977-0020,that the hair was her own she instantaneously felt as well satisfied as marianne the only difference in their conclusions was that what marianne considered as a free gift from her sister elinor was conscious must have been procured by some theft or contrivance unknown to herself,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
198-129977-0021,she was not in a humour however to regard it as an affront and affecting to take no notice of what passed by instantly talking of something else she internally resolved henceforward to catch every opportunity of eyeing the hair and of satisfying herself beyond all doubt,"[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0022,that it was exactly the shade of her own edward's embarrassment lasted some time and it ended in an absence of mind still more settled he was particularly grave the whole morning marianne severely censured herself for what she had said,"[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0
 0 0 0 0 0 0 0]"
198-129977-0023,before the middle of the day they were visited by sir john and missus jennings who having heard of the arrival of a gentleman at the cottage came to take a survey of the guest with the assistance of his mother in law sir john was not long in discovering,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0024,that the name of ferrars began with an f and this prepared a future mine of raillery against the devoted elinor which nothing but the newness of their acquaintance with edward could have prevented from being immediately sprung,"[0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
198-129977-0025,but as it was she only learned from some very significant looks how far their penetration founded on margaret's instructions extended sir john never came to the dashwoods without either inviting them to dine at the park the next day or to drink tea with them that evening,"[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
198-129977-0026,on the present occasion for the better entertainment of their visitor towards whose amusement he felt himself bound to contribute he wished to engage them for both you must drink tea with us to night said he,"[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0]"
1088-129236-0001,in the first sentiment of kindness anticipates already a benevolence which shall lose all particular regards in its general light the introduction to this felicity is in a private and tender relation of one to one which is the enchantment of human life,"[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
198-129977-0027,missus jennings enforced the necessity and who knows but you may raise a dance said she and that will tempt you miss marianne a dance cried marianne impossible who is to dance who why yourselves and the careys and whitakers to be sure,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
198-129977-0028,what you thought nobody could dance because a certain person that shall be nameless is gone i wish with all my soul cried sir john that willoughby were among us again this and marianne's blushing gave new suspicions to edward,"[0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
198-129977-0029,and who is willoughby said he in a low voice to miss dashwood by whom he was sitting she gave him a brief reply,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-129977-0030,edward saw enough to comprehend not only the meaning of others but such of marianne's expressions as had puzzled him before and when their visitors left them he went immediately round her and said in a whisper i have been guessing shall i tell you my guess,"[0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
198-129977-0031,what do you mean shall i tell you certainly well then i guess that mister willoughby hunts marianne was surprised and confused yet she could not help smiling at the quiet archness of his manner and after a moment's silence said,"[0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
 0 0 0 0 0 0 0]"
198-129977-0032,hope i am sure you will like him,[0 0 0 0 0 0 0]
198-209-0000,missus allen said catherine the next morning will there be any harm in my calling on miss tilney today i shall not be easy till i have explained everything go by all means my dear only put on a white gown miss tilney always wears white,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
198-209-0001,catherine cheerfully complied and being properly equipped was more impatient than ever to be at the pump room that she might inform herself of general tilney's lodgings for though she believed they were in milsom street she was not certain of the house,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
198-209-0002,and missus allen's wavering convictions only made it more doubtful to milsom street she was directed and having made herself perfect in the number hastened away with eager steps and a beating heart to pay her visit explain her conduct and be forgiven,"[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
198-209-0003,tripping lightly through the church yard and resolutely turning away her eyes that she might not be obliged to see her beloved isabella and her dear family who she had reason to believe were in a shop hard by she reached the house without any impediment looked at the number,"[0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1088-129236-0002,unites him to his race pledges him to the domestic and civic relations carries him with new sympathy into nature enhances the power of the senses opens the imagination adds to his character heroic and sacred attributes,"[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
198-209-0004,and with a look which did not quite confirm his words said he had been mistaken for that miss tilney was walked out catherine with a blush of mortification left the house she felt almost persuaded that miss tilney was at home and too much offended to admit her,"[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0005,and as she retired down the street could not withhold one glance at the drawing room windows in expectation of seeing her there,[0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0]
198-209-0006,at the bottom of the street however she looked back again and then not at a window but issuing from the door she saw miss tilney herself she was followed by a gentleman whom catherine believed to be her father and they turned up towards edgar's buildings,"[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0007,catherine in deep mortification proceeded on her way she could almost be angry herself at such angry incivility but she checked the resentful sensation she remembered her own ignorance she knew not how such an offence as hers might be classed by the laws of worldly politeness,"[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0008,to what a degree of unforgivingness it might with propriety lead nor to what rigours of rudeness in return it might justly make her amenable dejected and humbled she had even some thoughts of not going with the others to the theatre that night,"[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
198-209-0009,for she soon recollected in the first place that she was without any excuse for staying at home and in the second,[0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0]
198-209-0010,to the theatre accordingly they all went no tilneys appeared to plague or please her she feared that amongst the many perfections of the family a fondness for plays was not to be ranked but perhaps it was because they were habituated to the finer performances of the london stage,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0011,on the beginning of the fifth however the sudden view of mister henry tilney and his father joining a party in the opposite box recalled her to anxiety and distress the stage could no longer excite genuine merriment no longer keep her whole attention,"[0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
198-209-0012,every other look upon an average was directed towards the opposite box and for the space of two entire scenes did she thus watch henry tilney without being once able to catch his eye no longer could he be suspected of indifference for a play,"[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
198-209-0013,his notice was never withdrawn from the stage during two whole scenes,[0 0 0 0 0 0 0 0 0 0]
1088-129236-0003,establishes marriage and gives permanence to human society the natural association of the sentiment of love with the heyday of the blood seems to require that in order to portray it in vivid tints which every youth and maid should confess to be true to their throbbing experience,"[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
198-209-0014,and forced him to hear her explanation feelings rather natural than heroic possessed her instead of considering her own dignity injured by this ready condemnation instead of proudly resolving in conscious innocence,[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0]
198-209-0015,to show her resentment towards him who could harbour a doubt of it to leave to him all the trouble of seeking an explanation and to enlighten him on the past only by avoiding his sight or flirting with somebody else she took to herself all the shame of misconduct,"[0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 5 0 0 0 0 0 0 0 0 0 0]"
198-209-0016,or at least of its appearance and was only eager for an opportunity of explaining its cause the play concluded the curtain fell henry tilney was no longer to be seen where he had hitherto sat but his father remained,"[0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
 0 0 0 0 0]"
198-209-0017,and perhaps he might be now coming round to their box she was right in a few minutes he appeared,[0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0]
198-209-0018,you must have thought me so rude but indeed it was not my own fault was it missus allen did not they tell me that mister tilney and his sister were gone out in a phaeton together and then what could i do but i had ten thousand times rather have been with you,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0019,my dear you tumble my gown was missus allen's reply her assurance however standing sole as it did was not thrown away it brought a more cordial more natural smile into his countenance,[0 0 0 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-209-0020,and he replied in a tone which retained only a little affected reserve we were much obliged to you at any rate for wishing us a pleasant walk after our passing you in argyle street you were so kind as to look back on purpose,"[0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 5 0
 0 0 0 0 0 0 0 0 0 0]"
198-209-0021,but indeed i did not wish you a pleasant walk i never thought of such a thing but i begged mister thorpe so earnestly to stop i called out to him as soon as ever i saw you now missus allen did not oh you were not there but indeed i did and if mister thorpe would only have stopped,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0022,i would have jumped out and run after you is there a henry in the world who could be insensible to such a declaration henry tilney at least was not with a yet sweeter smile he said everything that need be said of his sister's concern regret,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0023,and dependence on catherine's honour oh do not say miss tilney was not angry cried catherine because i know she was for she would not see me this morning when i called i saw her walk out of the house the next minute after my leaving it i was hurt but i was not affronted,"[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1088-129236-0004,one must not be too old the delicious fancies of youth reject the least savor of a mature philosophy as chilling with age and pedantry their purple bloom,[0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-209-0024,perhaps you did not know i had been there i was not within at the time but i heard of it from eleanor and she has been wishing ever since to see you to explain the reason of such incivility but perhaps i can do it as well it was nothing more than that my father,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0025,and he being hurried for time and not caring to have it put off made a point of her being denied that was all i do assure you,[0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-209-0026,and meant to make her apology as soon as possible catherine's mind was greatly eased by this information yet a something of solicitude remained from which sprang the following question thoroughly artless in itself though rather distressing to the gentleman but mister tilney,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
198-209-0027,why were you less generous than your sister if she felt such confidence in my good intentions and could suppose it to be only a mistake why should you be so ready to take offence me i take offence,"[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
198-209-0028,nay i am sure by your look when you came into the box you were angry i angry i could have no right well nobody would have thought you had no right who saw your face he replied by asking her to make room for him and talking of the play he remained with them some time,"[0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0029,and was only too agreeable for catherine to be contented when he went away before they parted however it was agreed that the projected walk should be taken as soon as possible and setting aside the misery of his quitting their box,"[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
 0 0 0 0 0 0 0]"
198-209-0030,she was upon the whole left one of the happiest creatures in the world while talking to each other,[0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-209-0031,was engaged in conversation with general tilney,[0 0 0 0 0 0 0]
198-209-0032,what could they have to say of her she feared general tilney did not like her appearance she found it was implied in his preventing her admittance to his daughter rather than postpone his own walk a few minutes how came mister thorpe to know your father was her anxious inquiry,"[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0033,as she pointed them out to her companion he knew nothing about it but his father like every military man,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
1088-129236-0005,and therefore i know i incur the imputation of unnecessary hardness and stoicism from those who compose the court and parliament of love but from these formidable censors i shall appeal to my seniors,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
198-209-0034,when the entertainment was over thorpe came to assist them in getting out catherine was the immediate object of his gallantry and while they waited in the lobby for a chair he prevented the inquiry which had travelled from her heart almost to the tip of her tongue by asking,"[0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0035,in a consequential manner whether she had seen him talking with general tilney he is a fine old fellow upon my soul stout active looks as young as his son i have a great regard for him i assure you,"[0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
 0]"
198-209-0036,know him there are few people much about town that i do not know i have met him forever at the bedford and i knew his face again today the moment he came into the billiard room one of the best players we have by the by and we had a little touch together though i was almost afraid of him at first,"[0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0037,the odds were five to four against me and if i had not made one of the cleanest strokes that perhaps ever was made in this world i took his ball exactly but i could not make you understand it without a table however i did beat him a very fine fellow as rich as a jew,"[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
198-209-0038,lowering his voice well done general said i i am quite of your mind,[0 0 0 3 0 0 0 0 0 0 0 0 0 0]
2007-132570-0000,what were they disputing then said emily no ma'amselle nor fighting but almost as good for i believe there was not one of the signors sober,[0 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
2007-132570-0001,and what is more not one of those fine ladies sober either i thought when i saw them first that all those fine silks and fine veils why ma'amselle their veils were worked with silver,[0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0]
2007-132570-0002,and fine trimmings boded no good i guessed what they were good god exclaimed emily what will become of me,[0 5 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0]
