text,StutterType
the hills are steep the woods seem full of fine Timber,[0 0 0 0 0 0 0 0 0 0 0]
I can easily believe it to be full of rocks and promontories gray moss and Brushwood but these are all lost on me I know nothing of the picturesque,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
I'm afraid it is but too true STUTTER Sumerian but why should you boast of it I suspect STUTTER said Eleanor that to avoid one kind of affectation Edward here falls into another Because he believes many people pretend to more admiration of the beauties of nature than they really feel,"[0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
I STUTTER disgusted with pledge pretensions he affects greater indifference and less discrimination and viewing them himself and he STUTTER possesses he is fastidious and we'll have an ad tactician of his STUTTER own to start a truce of Marianne the admiration of landscape scenery,"[0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 0 0 0 0 0 0 0]"
it's become a marriage Oregon everybody pretends to fill and tries to describe with the taste and elegance of him who first defined what picturesque Beauty was I detest jargon of every kind and sometimes I have kept my feelings to myself,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
cuz I could find no language to STUTTER describe them in but what was Warren and hackneyed out of STUTTER all sense and meaning I'm convinced that Edward that you really feel STUTTER the Delight in a fine Prospect which you profess to fill,"[0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0
 0 0 0 0 0 0 0]"
but in return your sister must allow me STUTTER to feel no more than I profess I like fine Prospect but not on picturesque principles I do not like crooked Twisted blasted trees I admire them more if they are tall Street in Flushing,"[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
I do not like Bruins tattered Cottages I'm not fond of nettles and thistles or Heath blossoms I've more pleasure in a snug Farmhouse than a watchtower,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Marianne looked with amazement at Edward with compassion at her sister,[0 0 0 0 0 0 0 0 0 0 0]
every promise STUTTER of the Soul has innumerable filaments each of its Joys ripens into a new want nature STUTTER uncontainable flowing for looking,[0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0]
to a new object suddenly engaged STUTTER her attention she was sitting by Edvard and then taking his teeth from Mrs dashwood his hand test so STUTTER directly before her as to make a ring with a STUTTER plate of hair in the center for conspicuous on one of his fingers,"[0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0
 2 0 0 0 0 0 0 0 0 0 0 0 0 0]"
but I should have thought her head then darker Marianne spoke and considerately what she really felt but when she saw how much she had pain Edward her own vexation that her wand of thought could not be surpassed by,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
he colored very deeply and STUTTER giving a momentary glance at Eleanor applied yes it is my sister's hair STUTTER the setting always cast the different shade on it you know Eleanor had met his eye and looked conscious likewise,"[0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
the hair was her own she instantaneously felt as well satisfied is Marianne the only difference in their conclusions was that what Marianne considered as a free gift from her sister Eleanor was conscious must have been cured by some deaf or contrivance unknown to herself,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
she was not in a humour however to regard it as STUTTER affront and affecting to take no notice of what STUTTER by instantly talking with something else she STUTTER internally resolved henceforward to catch every opportunity I have I earned the hair and it's satisfying herself beyond all doubt,"[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
STUTTER that it was exactly the shade of her own Edwards embarrassment lasted sometime and it ended in an absence of Mind STUTTER still more settled who is particularly grave the whole morning Maryanne severely STUTTER sent Church herself for what she had said,"[3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0
 0 0 0 0 0 0 0]"
before the middle of the day they were visited by Sir John and this is Jennings who hadn't heard of the arrival of a gentleman at the cottage came to take a survey of the guest with the assistance of his mother-in-law for John was not long in discovering,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
but the name of bears begin with an STUTTER and it's prepared a future mind of raillery against the devoted Eleanor which STUTTER nothing but the newness of their acquaintance with Edward could have prevented from being immediately sprung,"[0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
but as STUTTER it was she only learned from some very significant looks how far their penetration sounded on Margaret instruction extended Sir John never came to the dashwood's without either inviting them to sign that the park the next day or two drinks tea with them that evening,"[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0]"
on the present occasion for the better entertainment of STUTTER their visitor towards his Amusement he felt himself down to contribute you wish to engage them STUTTER for both you must drink tea with us tonight that he,"[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
 0]"
in the first sentiment of kindness anticipates already a STUTTER benevolence which I lose all particular regard than its General light STUTTER the introductions this Felicity STUTTER in a private and tender relation of 121 which is the enchantment of human life,"[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
this is Jennings enforce the necessity and who knows but you may raise a bit since she and that will tempt you miss Marianne a dance cried Mary an impossible who is too dense to while yourselves and the carries and the Whitakers to be sure,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
what you thought nobody could dance because a certain person STUTTER that shall be named was is gone I wish it with all my soul quiet Star John that Willoughby were Among Us Again this and Marian's brushing gave me suspicions to Edward,"[0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
and she was Willoughby said he in a STUTTER low voice to miss dashwood by him he was sitting she gave him a brief reply,[0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Edwards enough to comprehend STUTTER only the meaning of others but such a Marriott Expressions has had puzzled STUTTER him before and when their visitors left them STUTTER he went immediately around her I've said in a whisper I've been guessing shall I tell you my guess,"[0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
what STUTTER do you mean shall I tell you certainly well then I guess STUTTER that mr. Willoughby hunt Marianne was surprised and confused yet she could not help smiling at the quiet archness STUTTER of his Manner and after a moment silence said,"[0 3 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0
 0 0 0 0 0 0 0]"
hope I'm sure you will like him,[0 0 0 0 0 0 0]
mrs. Allen's if Catherine the next morning will there be any harm in my calling on Miss tilney today I shall not be easy till I've explained everything go by all means my dear only put on a white gown this to me always wears white,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0]"
Catherine cheerfully complied and being properly equipped with more impatient than ever to be at the pump room that you might inform herself of General tilney is lodgings for those who believed they were in Milton Street she was not certain that the house,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
and this is Ellen's wavering STUTTER only made it more doubtful to milsom street she was directed and having made herself perfect in the number hastened away with bigger steps and a beating heart to pay your visit explain your conduct and be forgiven,"[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0]"
sipping lightly through STUTTER churchyard and resolutely turning away her eyes that she might not be obliged to see her beloved Isabella and her to your family who she had reason to believe we're in a shop Hard by she reach the house without any impediment looked at the number,"[0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
unites them STUTTER to his race pledges him to the domestic and Civic relations carries him with STUTTER new sympathy into nature and hence has the power of a census opens the imagination as to his character heroic and sacred attributes,"[0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0]"
and with the look what you did not quite STUTTER confirm this words said that STUTTER she had been mistaken for that Miss tilney was walked out Katherine with a bunch of mortification left the house STUTTER she felt Almost Persuaded that Miss tell me was that home and too much offended to admit her,"[0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
and as she retired down the street could not withhold one glance at STUTTER the drawing room windows and expectation is staying for their,[0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0]
at the bottom of the street however she STUTTER looks back again and then not at a window but issuing from the door she saw Miss tilney herself she was followed by a gentleman named Katherine believed to be her father and it turned up towards Edgar's buildings,"[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
Catherine indeed fortification proceeded on STUTTER her way she could almost be angry herself at such angry and Sensibility but you check the resentful sensation she remembered her own ignorant she knew not how such an offense is hers might be class by the laws of worldly politeness,"[0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0]"
to what degree of unforgivingness that might with STUTTER propriety leave North what Breakers are furnace and STUTTER it might justly make her amenable dejected and humbles she had STUTTER some thoughts of not going with the others to the theater that night,"[0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
 0 0 0 0 0 0]"
for she soon recollected in the first place that she was without STUTTER excuse for staying at home and in the second,[0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0]
to the theater accordingly they all went no chimneys appeared to play Gore please her she feared that amongst the many professions of the family a fun list for plays was not to be ranked but perhaps it was because they were habituated to the finer performances of the London stage,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
on the STUTTER beginning of the fifth however the second view of mr. Henry tilney and his father joining a party in the opposite box recalled her to anxiety and distress the stage could no longer excite genuine merriment no longer keep her whole attention,"[0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
every other look upon an average was directed towards the opposite STUTTER and for the space of two entire scenes did she'd us watch Henry tilney without being once able to catch his eye no longer could he be suspected of indifference for a play,"[0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
notice was never withdrawn from the stage during to holsteins,[0 0 0 0 0 0 0 0 0 0]
establishes marriage excuse permanence to STUTTER Society the natural Association of the sentiment of love with the Heyday of the blood seems to require that in order to watch red and Vivid tint whichever you think maged confessed to be true to their throbbing experience,"[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]"
and forced him to hear STUTTER explanation feelings rather natural than heroic zester instead of considering her STUTTER dignity injured by this ready condemnation instead of probably resolving unconscious innocence,[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0]
to STUTTER her resentment towards him could Harbor at out of it to leave to him all the trouble of seeking STUTTER an explanation and to Enlighten him on the past only by avoiding his side or flirting with STUTTER else she took to herself all the shame of misconduct,"[0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 5 0 0 0 0 0 0 0 0 0 0]"
or at least STUTTER of its appearance and was only eager for an opportunity of explaining STUTTER cause the play concluded the curtain fell Henry tilney was no longer to be seen where STUTTER he had hitherto sad but his father remained,"[0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
 0 0 0 0 0]"
and perhaps he might feel now coming around to STUTTER box she was right in a few minutes he appeared,[0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0]
you must have thought me so rude but didn't see it was not my own STUTTER wasn't mrs. Allen too. They tell me that mr. tilney and his sister STUTTER going out in a Phaeton together and then what could I do but I had ten thousand times rather have been with you,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
my dear you tumble STUTTER my gown with mrs. Allen's reply her STUTTER insurance however standing Soul as it did was not thrown away it brought a more cordial more natural smile into his countenance,[0 0 0 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
and she replied in a town which retained only a little affected Reserve STUTTER who are much obliged to you at any rate for wishing STUTTER us a pleasant walk after our passing you in STUTTER Street you were so kind as to look back on purpose,"[0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 5 0
 0 0 0 0 0 0 0 0 0 0]"
but indeed I did not wish you a pleasant walk I never thought of STUTTER such a thing but I begged mr. Thorpe so earnestly to stop I called out to him STUTTER as STUTTER soon as ever I saw you know mrs. Allen did not know you were not there but indeed I did and it's mr. Thorpe would only a stop,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 4 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
I would have jumped out and run after you is there a Henry in STUTTER the world who could STUTTER be insensible to such a declaration Henry tilney at least was not with the yet STUTTER sweeter smile he said everything that needs to be said of his sister is concerned regret,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
independent Saint Catherine's on Earth did STUTTER not say Miss tilney was not angry quite Catherine because I know STUTTER was here she would not see me this morning when I STUTTER called I saw her walk out of the house the next minute after by leaving it I was hurt but I was not a fronted,"[0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
one must not be too old the delicious fancies STUTTER of Youth reject STUTTER the least saver of amateur philosophy as chilling with age and pedantry there purple bloom,[0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
Pratt Street did not know I had been there I was not within at the time but I heard of it from Eleanor and she has been wishing ever since to see you to explain the reason of such instability the props I can do it as well if it's nothing more than that my father,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
Auntie being heard for STUTTER time and not caring have it put off made a point of her being denied that was all I do is for you,[0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
I meant to make her apology as soon as possible Catherines mine was greatly East by this information remained from which bring the following question thoroughly artless in itself the rather distressing to the gentleman but Mr tell me,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0]"
why are you less generous than your sister STUTTER if she felt such confidence in my good intentions and it's supposed to STUTTER be only a mistake why should you be so ready to take offense me I take offense,"[0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
man STUTTER sure but you look when you came into the box you were angry I angry I could have STUTTER no right well nobody would have thought you had no right to saw your face he replied by asking her to make room for him and talking of the play he remained with them sometime,"[0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
and there's only two agreeable STUTTER Catherine to be contented when he went away before they parted however STUTTER it was agreed that the projected block should be taken as soon STUTTER as possible and setting aside the misery of his quitting their box,"[0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
 0 0 0 0 0 0 0]"
she was upon STUTTER whole left one of the happiest creatures in the world while talking to each other,[0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
was engaged in conversation with General tilney,[0 0 0 0 0 0 0]
what could they have to save her STUTTER she feels General tilney did not like her parents she found it was implied in his STUTTER her admittance to his daughter rather than postpone his STUTTER own walk a few minutes okay mr. Thorpe to know your father what's your anxious inquiry,"[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 2 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
as you pointed them out to her STUTTER companion he knew nothing about it but his father like every military man,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0]
and therefore I know I incur the imputation of unnecessary hardness and stoicism from those who composed the court and Parliament of love but from these formidable sensors I shall appeal to my seniors,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
when STUTTER the entertainment was over Thorpe came to assist them and getting out Catherine was the immediate STUTTER object of his gallantry and while they waited in the lobby STUTTER for a chair he prevented the inquiry which had traveled almost to the tip of her tongue by asking,"[0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]"
inconsequential matter whether she had seen him talking STUTTER with General tilney STUTTER he's a fine old fellow upon myself without actually looks as young as his son have a STUTTER great regard for him I assure you,"[0 0 0 0 0 0 0 0 2 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0
 0]"
know STUTTER him there a few people much about town that I do not know I have met him forever at the Bedford and I knew his face again today the moment he came into the billiard-room one of the finest players we have by the bye and we had a little touch together so I was almost afraid of him at first,"[0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
the odds were five to four against me and STUTTER if I have not made one of the cleanest Strokes that perhaps ever was made in this world I took his ball exactly but I could not make you understand it without to table however I did beat him a very fine fellow as rich as a Jew,"[0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
lowering his voice STUTTER will done generals that I am quite of your mind,[0 0 0 3 0 0 0 0 0 0 0 0 0 0]
what were STUTTER they disputing then said Emily no Mom's STUTTER out not fighting but almost just good for I believe there was not one of the senior sober,[0 0 3 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
and what is more not one of those fine ladies STUTTER sober either I thought when I STUTTER saw them first that all those fine silks STUTTER fine veils white mam'selle their tails were worked with silver,[0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0]
