file_name,ground_truth,prediction
2518-154825-0004,i cannot stand i said there is something gone in my leg and i feel blood running down into my boot he knelt and rolled down the leg of my stocking but though he only moved my foot,i cannot stand i said there is something gone in my leg and i feel blood running down into my boot he knelt knelt knelt and rolled down the leg of my stocking but though he only moved my foot
311-124404-0046,two canals in size equal to or larger than the preceding viz the venous artery arteria venosa likewise inappropriately thus designated because it is simply a vein which comes from the lungs,two canals alsaslsin size equal to or larger than the preceding viz the venus artery arteria venosa likewise in apen appren appropriately thus designated because it is simply a vein which comes from the lungs
412-126975-0018,oh don't jump mister crook she called out in some alarm it's much too high the individual riding the party wall like an aerial horse,oh don't jump mister crook she called out in some alarm it's much too high the individual riding the party wall like an aerial horse
6437-66172-0038,were of a nature not to be misunderstood and were not misunderstood by anyone but mister meeks himself the widow carried on a dress making establishment at her residence on the corner opposite meeks's drug store,were of a wof a nature not to be misunderstood and were not misunderstood by anyone but mister meeks himself the widow carried on a dressmaking establishment at her residn ig establishment at her residnng establishment at her residence on the corner opposite meeks's drug store
7067-76048-0042,she would some day she laughed be swimming in oil and such like property her interest in sir richmond's schemes for a scientific world management of fuel was therefore she realized a very direct one but it was remarkable to find a young woman seeing it like that,she would some day she laughed be swimming an oil and such like like like property her interest in sir richmond's schemes for t richmond's schemes for to richmond's schemes for a scientific world management of fuel was therefore she realized a very direct one direct one direct one but it was remarkable to find a young woman seeing it like that
1743-142914-0029,before peter could say another word teeter came running towards him and it was plain to see that teeter was very anxious about something don't move peter rabbit don't move he cried why not demanded peter for he could see no danger and could think of no reason why he shouldn't move,before peter could say another word teter came running towards him and d him and him and it was plain to see plain to see plain to see that teeter was very anxious about something don't move peter rabbit don't move he cried why not demanded not demanded not demanded peter for he could see no danger and could think of no reason why he shouldn't move
5456-62043-0008,with a two weeks beard strings over his shoulders holding up to his armpits a pair of copperas colored linsey woolsey pants the legs of which reached a very little below the knee shoes without stockings a faded broad brimmed hat which had once been black,with a two weeks beard strings over his shoulders shoulders holding up to his arm pits a pair of coppers coloured coppers colored linsey woolsey pants the legs of which reached a very little below the knee shoes without stockings a faded broad brimmed hat which had once been black
5561-39621-0021,cropole was feeding their gossip with his own personal remarks without observing that an old man on foot but leading a small irish horse by the bridle was endeavoring to penetrate the crowd of men and women which blocked up the entrance to the medici but at that moment the voice of the stranger was heard from the window,crippole was feeding their gossip with his own personal remarks without observing that an old man on foot but leading a small irish horse by the bridle was endeavoring to penetrate the crowd of men and women which blocked up the entrance of the medici but at that moment the voice of the stranger was heard from the window
412-126975-0070,and i find the thing's extinct nothing but a lot of snivelling fairy plays i want a hot poker and a policeman made into sausages and they give me princesses moralising by moonlight blue birds,and i find the thing think things extinct nothing but a lot of snivelling fairy plays i wanted to hot poker and a ppoliceman made into sausages and they give me princesses moralizing by moonlight blue birds
7780-274562-0080,calls up at once to the eye the fair forms that have passed there in other days the slightest exhibition of art is an evidence of care and human interest,calls up at once to the eye the fair the fair the fair forms that that have passed there in other days the slightest exhibition of art is an evidence of care and human interest
1926-143879-0006,grave she found herself and positively more weighted as by the experience of the lapse of the year she had spent in seeing the world,grave she found herself and positively more weighted as by the experience of the lapse of the year she had spent in seeing the world
1088-134315-0036,and a pair of pearl studs the newcomer glared round at the valet take these he ordered peremptorily pointing to the books under his arm fisher hastened to obey and noted with some wonder that the visitor did not attempt to assist him,and a pair of pearl studs the the the newcomer glared round at the valet take these he ordered peremptorily and peremptorily pointing to the books under his arm fisher hastened to od hastened to obey and noted with some wonder that the visitor did not attempt to assist him
625-132112-0002,the harder the slaves were driven the more careless and fatal was their farming then came the revolution of war and emancipation the bewilderment of reconstruction and now what is the egypt of the confederacy,the harder the slaves were driven the more careless and fatal was their farming then came the revolution of war and emancipation the bewilderment of reconstruction and now what is the egypt of the confederacy
7517-100442-0015,and ate him when she had finished she emptied the ends out of the window wiped her hands and settled down comfortably to her paper what paper you'll never guess,and ate hm m m m when she had finished she emptied the enns out of the window wiped her hands and wiped her hands and wiped her hands and settled down comfortably to her paper what paper you'll never guess
4018-103416-0028,he held himself very straight as he entered the house and the boyish grin with which he customarily greeted the butler had given place to a dignified nod natalie was in her dressing room at his knock she told the maid to admit him,he held himself very straight as he entered the house and the boyish grin with which he customarily greeted the butler had given place to a dignified nod natlie was in her dressing room at his knock she told the maid to admit him
2518-154826-0014,and if they come i cannot help it for weariness and the sun's heat have made my feet like lead a score of years ago i would have laughed at such a task but now tis different,and if they come i cannot help it for weariness and the sun's heat feat feat fat have made my feet like lead a score of years ago i would have laughed at such a task but now tis different
2518-154826-0004,there was the being known by the excise for smugglers and perhaps for murderers third and last there was the breaking of my leg which made escape so difficult but most of all,there was the being known by the excise  for smugglers and perhaps for murderers third and last there was was the breaking of my leg which made escape so difficult but most of all
2436-2477-0025,i saw the door open and close i even thought i could see his blurred outline she added why should george prince be sneaking around with you after him and the purser acting innocent,i saw the door open and close i i i even thought i could see his blurred outline she added why should george prince be sneaking around with you after him and the purser acting innocent
4018-103416-0036,but when she asked for something that meant more than life to her it was refused of course she had gone through all sorts of humiliation to get him that money and this was the gratitude she received graham listened,but when she asked for something that meant more than life to her it was refused of course she had gone through all sorts  fot sorts of humiliation to get him that money and this was the gratitude she received graham listened
5678-43301-0017,and his thin metallic voice piped a sentence or two across the tinkling splash of the fountains behind him then he stepped back and oliver came forward it was too far for the two to hear what was said but mabel slipped a paper smiling tremulously,and his thin metallic voice piped a sentence or two across the tinkling splash of the fountains behind him then he stepped back and oliver came forward it was too far for the two to hear what was said but mabel slipped a paper smiling tremulously
2893-139322-0008,but wherever there was work it was being done by slow moving workers in blue canvas the only people not in blue canvas were the overlookers of the work places and the orange clad labour police and fresh from the flushed faces of the dancing halls,but wherever there was work it was being done by slow moving workers in blue canvas the only people not in blue can o in blue canvas were the overlookers of the bot b the work places and the orange clad labor police and fresh from the flushed faces of the dancing halls
445-123857-0007,whate'er thy thoughts or thy heart's workings be,whate'er thy thoughts or thy heart's workings be
7780-274562-0084,that the true result of the natural style of gardening is seen rather in the absence of all defects and incongruities than in the creation of any special wonders or miracles,that thethe true result of the natural style of gardening is seen rather in the absence of of of all defects and incongruities than in the creation of any special wonders or miracles
4018-103416-0017,encouraged by her interest he elaborated on the new work he even developed an enthusiasm for it to his own surprise and the girl listened intently leaning forward so that her arm brushed his shoulder,encouraged by her interest he elaborated on the new work he even developed an enthusiasm for it to his own surprise and the girl listened intently leaning forward so that her arm brushed his shoulder
2092-145706-0082,till at last they fell on the king and on the wicked brothers and ate them and the whole court up in a moment then ferko went straight to the palace and set the princess free and on the same day,till at last they fell on the king and on the wicked brothers and ate them and the whole court up in a moment then ferko went straight to the palace and set the princess free and on the same day
1926-147987-0016,she spent the whole morning bathing and poulticing me and rubbing me with arnica i heard antonia sobbing outside my door but i asked grandmother to send her away i felt that i never wanted to see her again,she spent the whole morning bathing and poltising poltising poltising me and rubbing me with arnica i heard antonia sobbing outside my door but i asked grandmother to send her away i felt that i never wanted to see her again
311-124404-0080,in parts more remote from it in the next place,in parts more remote from it in the next t in the next t in the next place
2893-139310-0013,but who is ostrog he said,but who is ostrog he said
1088-129236-0014,it is the dawn of civility and grace in the coarse and rustic the rude village boy teases the girls about the school house door but to day he comes running into the entry and meets one fair child disposing her satchel,it is the dawn of civility and grace in the coarse and rustic the rude village boy teases the girls about the schoolhouse door but to day he comes running into the entry and meets one fair child disposing her satchel
2092-145706-0038,on condition you leave the country but if you cannot perform what i demand you shall be hung on the nearest tree and turning to the two wicked brothers he said suggest something for him to do,on condition you leave the country but if you cannot perform what i demand you shall be hung on the nearest tree and turning to the two wicked brothers he said suggest something for him to do
4788-94904-0038,and the monarch was long compelled by necessities of position to exert his authority as the ally rather than the master of the classes whom he had aided in affecting their liberation in this manner a central power despotic in principle,and the monarch was long compelled by necessities of position to exert his authority as the ally rather than the master of the classes whom he had aided in affecting their liberation in this manner a central power despotic in principle
1088-129236-0012,the strong bent of nature is seen in the proportion which this topic of personal relations usurps in the conversation of society what do we wish to know of any worthy person so much as how he has sped in the history of this sentiment,the strong bent of nature is seen in the proportion which this proportion which this proportion which this topic of personal rela relations usurps in the conversation of society what do we wish to know of any worthy person so much as how he has sped in the history of this sentiment
2893-139310-0012,the people in the little room could not hear each other shout graham stood his intelligence clinging helplessly to the thing he had just heard the council he repeated blankly and then snatched at a name that had struck him,the pepthpthe people in the little room could not hear each other shout graham stood his intelligence clinging help helplessly to the thing he had just heard the council he he repeated blankly and then snatched at a name that had struck him
8095-274346-0051,this article together with the new impositions laid on merchandise by james constituted near half of the crown revenues and by depriving the king of these resources they would have reduced him to total subjection and dependence,this article together with the new impositions laid on merchandised by james constituted near half of the crown revenues news news and by depriving the king of these resources sources they would have reduced him to total subjection and dependence
3240-131232-0020,but has always sought positively to prove or to disprove something that was conceived of or suspected in advance as i suspected says this correspondent i found that the snails were of a familiar land species that they had been upon the ground,but has always sought positively to prove or to disprove something that was conceived of or suspected in advance as i suspected says this correspondent i found that the snails were of a familiar land species that they had been upon the ground
625-132118-0034,let him be happy o fate blithe was the morning of his burial with bird and song and sweet smelling flowers the trees whispered to the grass,let him be happy no fate no fate blythe was the mornng the mornin the morning of his burial with bird and song and song and sweet smelling flowers the trees whispered to the grass
2836-5355-0048,then he paid a visit to the landlord and handed him likewise a year's rent in advance making the same remark after that he ordered dinner at a hotel and the same night he and pierre departed on their journey home again,then he paid a visit to the landlord the landlord and handed him likewise a year's rent in advance making the same remark after that he ordered dinner at a hotel and the same night he and he and pierre departed on their journey home again
1926-147987-0021,there stood missus cutter locked out for she had no key to the new lock her head trembling with rage i advised her to control herself or she would have a stroke grandmother said afterwards,there stood missus cutter locked out cutter locked out cutter locked out for she had no key to the new lock her head trembling with rage i advised her to control herself or she would have a stroke grandmother said afterwards
198-209-0030,she was upon the whole left one of the happiest creatures in the world while talking to each other,she was upon the whole left one of the happiest creatures in the world while talking to each other
6437-66173-0009,but they were not the tears of defeat they were merely the involuntary tribute which nature paid to the departed tresses in a second my little jacket lay on the ground and i stood on guard resting lightly on my right leg,but they were not the tears of defeat they were merely merely the involuntary tribute which nature paid to the departed tresses in a second my little jacket lay on the ground and i stood on guard resting lightly on my right leg
5456-24741-0000,the idea of every mode in which the human body is affected by external bodies,the idea of every mode in which the human body is affected by external bodies
2092-145706-0012,the more they laughed and scolded him for his greed so he endured the pangs of starvation all that day but when night came his endurance gave way and he let his right eye be put out,the more they laughed and scolded him for his greed the greed greed so he endured the pangs of starvation all that day but when night came his endurance gave way and he let his right eye be put out
8238-283452-0026,and demonstrate a new kind of apparition the ghost story of to day gives you spinal sensations with a difference as in the immortal transferred ghost by frank r stockton,and demonstrate a new kind of apparition the ghost story of to day gives you spinal sensations with a difference as in the immortal transferred ghost by fred r stockton
2989-138028-0009,whether one carries relics or any secret contrivance about him whether or not the sun is to be divided and portioned out and other niceties of the sort that are observed in set combats of man to man that you know nothing about but i do,whether one carries relics or any secret contrivance about him whether or not the sun is to be divided whe divided and portioned out and other niceties of the sort that are observed in set combats of man to man that you now nothing about but i do
2952-408-0022,and after a moment of silence the master of the house said reverend sir there is no priest and there is no anjitsu on the hill for the time of many generations there has not been any resident priest in this neighborhood muso said nothing more on the subject,and after a moment of silence the master of the house said reverend sir there is no priest and there is no anjitsu on the hill for the time of many generations there has not been any resident priest in this neighborhood muso said nothing more on the subject
1926-147979-0002,through january and february i went to the river with the harlings on clear nights and we skated up to the big island and made bonfires on the frozen sand but by march the ice was rough and choppy,through january and february i went to the river with the harlings harlings on clear nights and we skated up to the big island and made bombfires on the frozen sand but by march the ice was rough and choppy
2289-152258-0017,he said that many times the angel gabriel appeared to him and revealed to him the religion which he afterwards taught his followers as he himself could not write he committed to memory all that the angel told him and had it written in a book,he said that he said that he said that many times the angel gabriel appeared to him and revealed to him the religion which he he he afterward taught his followers as he himself could not write he committed to memory all that the angel had told him and had it written in a book
198-209-0015,to show her resentment towards him who could harbour a doubt of it to leave to him all the trouble of seeking an explanation and to enlighten him on the past only by avoiding his sight or flirting with somebody else she took to herself all the shame of misconduct,to show her resentment towards him who could harbour a doubt of it to leave to him all the trouble of seeki toki king an explanation and to enlighten him on the past only by avoiding his sight or flirting with somebody else she took to herself all the shame of misconduct
3699-175950-0020,by the trotting of my lean horse the thing is incredible and i am quite lost in my understanding when i am considering what a treasure of precious time and talents together has been wasted upon worse subjects,by the trotting of my lean horse the thing is incredible and i been credible and oen credible and i am quite lost in my understanding when i am iam i am considering what a treasure of precious time and talents together has been wasted upon worse subjects
103-1241-0038,and i used to imagine i was living here but i never really expected i would it's delightful when your imaginations come true isn't it but those red roads are so funny when we got into the train at charlottetown and the red roads began to flash past i asked missus spencer what made them red,and i used to imagine i was living and living here but i never really expected i would it's delightful when your imaginations come true isn't it but those red roads are so funny and ey're so funny when we got into the train at charlottetown and the red roads began to flash past i asked missus spencer what made them red
2989-138035-0051,wherein an account is given of the wedding of camacho the rich together with the incident of basilio the poor,wherein an account is given of the wedding of camacho the rich together with the incident of basilio the poor
8975-270782-0039,even those persons whom the child seems to love from the very beginning it loves at the outset because it has need of them cannot do without them in others words out of egoistical motives,even those persons whom the child seems to love from the very beginning it loves at the outset because it has need of them cannot do without them in other words out of egoistical motives
1926-143879-0040,advantageous to hear she had once or twice had a positive scare since it so affected her to have to exclaim of her friend,advantageous to hear she had once or twice had a positive scare since it so affected her to have to exclaim of her friend
6925-80680-0027,soon after this on a dark and stormy night when the river roared beneath the palace walls the sound of a woman weeping and wailing was heard above the storm the king ordered a servant to go and see what was the matter but the servant falling on his knees in terror,soon after this this on a dark and stormy night when the river roared beneath the palace walls the sound of a woman weeping and wailing was heard above the storm the king ordered a servant to go and see what was the matter but the servant falling on his knees in terror
445-123857-0021,from you have i been absent in the spring when proud pied april dress'd in all his trim hath put a spirit of youth in every thing,from you have i been absent in the spring when proud pied april dress'd in all his trim hath put a spirit of youth in everything
6437-66173-0016,rodgers as i understand it is your second conway bailey come here what's the row about he was thrashing binny wallace no i wasn't interrupted conway,rogers as i i understand it is your second conway bailey come here what's the row about he was thrashing binny wallace no i wasn't interrupted conway
1088-134315-0032,he walked down the corridor with a meditative frown and began to descend the stairs to the hall he was less than half way down when the one maid of kara's household came up to meet him there's a gentleman who wants to see mister kara she said here is his card,he walked down the corridor with a meditative frown and began to descend the stairs to the hall he was less than half way down when the one maid of kara's household came up to meet him there's a gentleman who wants to see mister kara she said here is his card
1926-147979-0039,somebody dancing in there he jerked his bullet head toward the dining room i hear little feet girls i spect anson kirkpatrick mounted a chair and peeped over the transom,somebody dancing in there he jerked his bullet head towards the dining room i hear little feet girls i spect anson kirk patrick mounted the chair and peeped over the transom
1088-134318-0007,kara breathed a sigh of relief and his face was wreathed in smiles why of course tell him to come up ask him if he minds seeing me in my room i told him you were in bed sir and he used shocking language said fisher kara laughed send him up he said,kara breathed a sigh of relief and his face was wreathed in smiles why miles why of course tell him to come p come up come up come up ask him if he minds seeing me in my room i i told him you were in bed sir and he used shocking language said fisher kara laughed send him up he said
311-124404-0107,that there are no men so dull and stupid not even idiots as to be incapable of joining together different words and thereby constructing a declaration by which to make their thoughts understood,that there are no men so dull and stupid not stupid not stupid not even idiots as to be incapable of joining together different words thereby constructing a declaration by which to make their thoughts understood
2289-152257-0013,and nothing was known of the power of steam for moving machinery the ships or galleys were sailing vessels and when there was no wind they could make no progress except by rowing when belisarius reached africa,and nothing was known of nothing was known of the power of steam for moving machinery the ships ore galleys were sailing vessels and when there was no wind they could make no progress except and rexcept and not u except by rowing when belisarius reached africa
1867-148436-0044,there wouldn't be no drawin card to get the boys around the house no more but you're lookin sort of sleepy stranger i am answered nash well if you'd seen that show you wouldn't be thinkin of sleep not for some time maybe not,there wouldn't be no drawin card to get the boys round the they're on the there in the house no more but you're lookin sort o sleepy stranger i am them answered nash well if you'd seen that show you wouldn't be thinkin o sleep not for some time maybe not
8095-274345-0010,to answer therefore all these great and important ends to satisfy their young king in the first request which he made them to prove their sense of the many royal virtues particularly economy with which charles was endued,to answer therefore all these great and important ends to satisfy their young king in the first request which he made them to prove their sense of the many royal virtues particularly economy with which charles was endued
7067-76047-0019,may involve very serious consequences indeed with which i for one do not wish to be involved sir richmond upon the hearthrug had a curious feeling that he was back in the head master's study at caxton,may involve very mysterious consequences indeed with which i for one do may not wish to be involved sir richmond upon the hearth rug had a curious feeling that he was bakback back back in the head master's study at caxton
2952-407-0011,the word itself cannot be adequately rendered by any english word for it is used in relation to many kinds of mimetic magic as well as in relation to the performance of many religious acts of faith,the word itself cannot be adequately rendered by any english word for it is used in relation to many kinds of mimetic magic as well as as well as in relation to the performance of many religious acts of faith
8468-295198-0031,got himself universally laughed at for aping fashionable manners every bird and beast in the forest had a gibe at him and even old parson too whit thought it worth his while to make him a pastoral call,got himself universally laughed at for aping fashionable manners every bird and beast in the forest had a gibe at him and even old parson toowit thought it worth his while to make him a pastoral call
5393-19218-0047,in the meanwhile two other maskers in the same carriage a spaniard with an enormous nose an elderly air and huge black moustache and a gaunt fishwife who was quite a young girl,in the meanwhile two other maskers other maskers in the same carriage a spaniard with an enormous nose an elderly hair os an elderly air and a huge black moustache and a gaunt fishwife who was quite a young girl
4788-294466-0014,noticing that dora was deep in thought she asked lightly won't you say it out loud why of course i was just wondering why jerry hurried us away so fast from lucky loon's rock house because he had to do the milking mary replied simply,noticing that dora was deep in thought she asked lightly thought she asked lightly won't you say it it out loud why of course i was just wondering why jerry hurried why jerry hurried why jerry hurried us away so fast from lucky loon's rock house because he had to do the milking mary replied simply
78-368-0026,but nothing could appear to me as it had done the day before a fiend had snatched from me every hope of future happiness no creature had ever been so miserable as i was so frightful an event is single in the history of man,but nothing could appear to me as it had done the daydadayday before a fiend had snatched from me every hope of future happiness no creature had ever been so miserable as i was so frightful an event is single in the history of man
5390-30096-0030,beth is still with louise you know and they must find the city deadly dull just now the farm's the thing and the major can run up to see us for a couple of weeks in the hot weather and we'll all have a glorious lazy time,beth is still with louise you know and they must find the city deadly dull just now the farm's the thing and the major can run up to see us for a couple of weeks in the hot weather and we'll all have a glorious lazy time
2007-132570-0000,what were they disputing then said emily no ma'amselle nor fighting but almost as good for i believe there was not one of the signors sober,what were they are they disputing then said emily no ma'amselle not fighting elle not fighting but almost as good for i believe there was not one of the signor sober
5561-39621-0026,can you doubt my energy i have meditated this journey ten years in spite of all counsels and all obstacles have you faith in my perseverance,can you doubt my energy i have meditated this journey an jour aney cjour aney ten years in spite of all counsels in all obstacles have you faith in my perseverance
1926-147979-0038,and he were gloating over them and trickling them through his yellow fingers in the middle of a crashing waltz d'arnault suddenly began to play softly and turning to one of the men who stood behind him whispered,and he wee and he were and he were an were gloating over them and trickling them through his yellow fingers in the middle of a crashing ndof a crashing waltz d'arnaud suddenly began to play softly and turning to andto one of the men who stood behind him whispered
4788-294466-0026,you wait until dick has been on the desert long enough to get a coat of tan he may surprise you,you wait until dick has been on the desert long enough to get a coat of tan he may surprise you
1334-135589-0090,replied edith to be sure you do not meet many in the new forest where you have lived all your life very true my dear sister perhaps that is the reason that the new forest has had such charms for me,replied edith redith to be sure you do not meet many in the new forest where you have lived all al your life very true my dear sister perhaps that is the reason that the new forest has had such charms for me
2989-138035-0001,and both students and peasants were struck with the same amazement that everybody felt who saw don quixote for the first time and were dying to know who this man so different from ordinary men could be don quixote saluted them and after ascertaining that their road was the same as his,and both students and peasants were struck struck with the same amazement that every one felt who saw don quixote for the first time and were dying to know who te this man so different from ordinary men could be don quixote be don quixote saluted them and after ascertaining that their road was the same as his
4853-29413-0023,whatever she saw him drink she was to insist on your drinking it too you heard me ask leave to make the tea yes well that was one of the signals agreed on between us,whatever she saw him drink she was to insist on your drinking it too you heard me ask leave to make the tea yes well that was one of the signals agreed on between us
5456-58161-0020,that told as plainly as words could speak she was more antique than the other leaned on the arm of don rataplan santa claus de la muscovado senor grandissimo bastinado happy mortal fortunate man and marquis of el dorado,that told as plainly has words could speak she was more antique than that that he was more antique than he was more antique than the other leaned on the arm of don ratoplan sentacl clot the cloc claus de la muscavado sinor grandissimo bastanado happy mortal fortunate man and marquis of el dorado
5390-30096-0012,that he never noticed how his wealth was piling up until he discovered it by accident then he promptly retired to give the other fellows a chance and he now devoted his life to simple acts of charity,that he never noticed how his wealth was piling up then u then up until he discovered it by an accident than he promptly retired to give other fellows a chance and he now that that ow now devoted his life to simple acts of charity
103-1241-0013,and demand of her why she wasn't a boy matthew groaned in spirit as he turned about and shuffled gently down the platform towards her she had been watching him ever since he had passed her and she had her eyes on him now matthew was not looking at her,and demand of her her why she wasn't a boy matthew groaned in spirit as he turned about turned about turned about and shuffled gently down the platform towards her she had been watching him ever since watching him ever since he had passed her and she had her eyes on him now matthew was not looking at her
289-121652-0033,that they have been relegated to oblivion while the real gems of the collection will doubtless live and grow in popular favor for many ages,that they have been relegated to oblivion while the real gems gems that gems of the collection will doubtless live live  live and grow in popular favor for many ages
2092-145709-0007,the good natured princess at once left her home and her family and hurried to the ruined castle and took possession of the room with the golden bed,the good natured princess at once left her ter ter home and her family and hurried her family and hurried to the ruined castle and took possession of the room with the golden bed
6437-66173-0004,but the intermission passed off tranquilly somewhat to our disappointment at the close of the afternoon session it happened that binny wallace and myself having got swamped in our latin exercise,but the intermission passed off tranquilly somewhat to our disappointment at the close of the the te but the afternoon session it happened that binny wallace and myself having got swamped in   our latin exercise
87-121553-0094,the buondelmonti ever the intermingling of the people has been the source of malady in cities as in the body food it surfeits on and a blind bull more headlong plunges down than a blind lamb and very often cuts better and more a single sword than five,the buendelmante ever the intermingling of the people has been the source of malady in cities as in the body food it surfeits on and a blind bull more headlong plunges down than a blind lamb and very often cuts better and more a single sword than five
7517-100442-0012,yes and he would know who bought all his papers and books and pamphlets and to know this is to know something about the people in the world,yes and he would know who bought all his papers and books and pamphlets and to know this is to know something about the people in the world
1963-142776-0003,mode shell the crayfish and put the fish between two plates until they are wanted pound the shells in a mortar with the butter and anchovies when well beaten add a pint of stock and simmer for three quarters of an hour,mode shell the crayfish and put the fish between two plates until they are wanted pound the shells in a more more mortar with the butter and anchovies when well beaten add a pint of stock and simmer for three quarters of an hour
5561-41616-0001,after conducting opening exercises miss thompson pronounced sentence on the culprits they were to forfeit their recess library and all other privileges until the end of the term,after conductect ect ecting opening exercises miss thompson pronounced sentence on the culprits they were to forfeit their recess library and library and all other privileges until the end of the term
8095-274346-0005,they petitioned the king for replacing such able clergy as had been silenced for want of conformity to the ceremonies they also enacted laws for the strict observance of sunday which the puritans affected to call the sabbath,they petitioned the king for replacing such able clergy as had been silenced for want of conformity to the ceremonies mauries mauries they also enacted laws for the strict observance of sunday which the puritans affected to call the sabbath
103-1240-0025,whence you got a glimpse of the bloom white cherry trees in the left orchard and nodding slender birches down in the hollow by the brook was greened over by a tangle of vines here sat marilla cuthbert when she sat at all always slightly distrustful of sunshine,whence you got a glimpse of the bloom white cherry trees and cherry trees in the left orchard and nodding slender birches down in the hollow by the brook hollow by the brook was greened over by a at a tangle of vines here sat marilla cuthbert when she sat at all always slightly distrustful of sunshine
4830-25898-0052,so good by dear and off trotted blot along the snowy road hoping to get home before the hen house door was shut faster and faster fell the snow darker and darker grew the night,so good bye dear ohgood bye dear an off trotted blot along the so the  the snowy road hoping to get home before the hen house door door door was shut faster and faster fell the snow darker and darker grew the night
2836-5354-0013,she wished to go farther on where they might get quicker news from england but her will now was as nothing she was looking like the ghost of her former self talk of her having looked ill when she took that voyage over the water with mister carlyle you should have seen her now,she wished to go farther on where they might get quicker news from england but her will now was as nothing she was looking like the ghost of her former self talk of her having looked ill when she took the voyage over the water with mister carlyle you should have seen her now
2952-408-0010,by the rule of our village none of us can stay here after midnight we beg kind sir that you will take every care of your honorable body while we are unable to attend upon you and if you happen to hear or see anything strange during our absence please tell us of the matter when we return in the morning,by the rule of ou of our village none of us can stay here after midnight we beg kind sir that you will take every care of your honourable body while we are unable be bleble to attend upon you and if you happen to hear or see anything strange during our absence please tell us of the matter when we return in the morning
2289-152254-0013,to the mouth of the tiber when the emperor maximus heard that the vandals were coming he prepared to flee from the city and he advised the senate to do the same the people were so angry at this,to the mouth of tiber when the emperor maximus heard that the vandals were coming he prepared to flee from the city and he advised the senate to do the same the people were so angry at this
2289-152253-0021,thor'is mond the son of theodoric,thorismond the son of theodoric
198-129977-0032,hope i am sure you will like him,hope i am sure you will like him
5561-39621-0002,the stranger did not pay them the least attention,the stranger did not pay them the least attention
1502-122619-0039,compliments as left them no ground of complaint in short the whole ceremony contained such a happy blending of the profitable with the flattering that it was not difficult for the donor immediately to read the effect of a generosity,compliments as left them no ground of complaint in short the whole ceremony contained such a happy blending of the comof the profitable with the flattering that it was not difficult for the conficult for the doner immediately to read the effect of a generosity
